internal_id,base_hp,base_attack,base_defense,base_speed,base_sp_attack,base_sp_defense,bst,type1,type2,catch_rate,exp_yield,ev_hp,ev_attack,ev_defense,ev_speed,ev_sp_attack,ev_sp_defense,ev_reserved,item_common,item_rare,gender_ratio,egg_cycles,base_friendship,growth_rate,egg_group1,egg_group2,ability1,ability2,safari_zone_flee_rate,body_color,no_flip,padding_hex,raw_hex
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000,00000000000000000000000000000000000000000000000000000000
1,45,49,49,45,65,65,318,12,3,45,64,0,0,0,0,1,0,0,0,0,31,20,70,3,1,7,65,0,0,3,0,0000,2D31312D41410C032D400001000000001F1446030107410000030000
2,60,62,63,60,80,80,405,12,3,45,141,0,0,0,0,1,1,0,0,0,31,20,70,3,1,7,65,0,0,3,0,0000,3C3E3F3C50500C032D8D0005000000001F1446030107410000030000
3,80,82,83,80,100,100,525,12,3,45,208,0,0,0,0,2,1,0,0,0,31,20,70,3,1,7,65,0,0,3,0,0000,5052535064640C032DD00006000000001F1446030107410000030000
4,39,52,43,65,60,50,309,10,10,45,65,0,0,0,1,0,0,0,0,0,31,20,70,3,1,14,66,0,0,0,0,0000,27342B413C320A0A2D414000000000001F144603010E420000000000
5,58,64,58,80,80,65,405,10,10,45,142,0,0,0,1,1,0,0,0,0,31,20,70,3,1,14,66,0,0,0,0,0000,3A403A5050410A0A2D8E4001000000001F144603010E420000000000
6,78,84,78,100,109,85,534,10,2,45,209,0,0,0,0,3,0,0,0,0,31,20,70,3,1,14,66,0,0,0,0,0000,4E544E646D550A022DD10003000000001F144603010E420000000000
7,44,48,65,43,50,64,314,11,11,45,66,0,0,1,0,0,0,0,0,0,31,20,70,3,1,2,67,0,0,1,0,0000,2C30412B32400B0B2D421000000000001F1446030102430000010000
8,59,63,80,58,65,80,405,11,11,45,143,0,0,1,0,0,1,0,0,0,31,20,70,3,1,2,67,0,0,1,0,0000,3B3F503A41500B0B2D8F1004000000001F1446030102430000010000
9,79,83,100,78,85,105,530,11,11,45,210,0,0,0,0,0,3,0,0,0,31,20,70,3,1,2,67,0,0,1,0,0000,4F53644E55690B0B2DD2000C000000001F1446030102430000010000
10,45,30,35,45,20,20,195,6,6,255,53,1,0,0,0,0,0,0,0,0,127,15,70,0,3,3,19,0,0,3,0,0000,2D1E232D14140606FF350100000000007F0F46000303130000030000
11,50,20,55,30,25,25,205,6,6,120,72,0,0,2,0,0,0,0,0,0,127,15,70,0,3,3,61,0,0,3,0,0000,3214371E1919060678482000000000007F0F460003033D0000030000
12,60,45,50,70,80,80,385,6,2,45,160,0,0,0,0,2,1,0,0,188,127,15,70,0,3,3,14,0,0,8,0,0000,3C2D3246505006022DA000060000BC007F0F460003030E0000080000
13,40,35,30,50,20,20,195,6,3,255,52,0,0,0,1,0,0,0,0,0,127,15,70,0,3,3,19,0,0,5,0,0000,28231E3214140603FF344000000000007F0F46000303130000050000
14,45,25,50,35,25,25,205,6,3,120,71,0,0,2,0,0,0,0,0,0,127,15,70,0,3,3,61,0,0,2,0,0000,2D1932231919060378472000000000007F0F460003033D0000020000
