move_id,effect,power,type,accuracy,pp,secondary_effect_chance,target,priority,flags,padding_hex,raw_hex
0,0,0,0,0,0,0,0,0,0,000000,000000000000000000000000
1,0,40,0,100,35,0,0,0,51,000000,002800642300000033000000
2,43,50,1,100,25,0,0,0,51,000000,2B3201641900000033000000
3,29,15,0,85,10,0,0,0,51,000000,1D0F00550A00000033000000
4,29,18,0,85,15,0,0,0,51,000000,1D1200550F00000033000000
5,0,80,0,85,20,0,0,0,51,000000,005000551400000033000000
6,34,40,0,100,20,100,0,0,50,000000,222800641464000032000000
7,4,75,10,100,15,10,0,0,19,000000,044B0A640F0A000013000000
8,5,75,15,100,15,10,0,0,19,000000,054B0F640F0A000013000000
9,6,75,13,100,15,10,0,0,19,000000,064B0D640F0A000013000000
10,0,40,0,100,35,0,0,0,51,000000,002800642300000033000000
11,0,55,0,100,30,0,0,0,51,000000,003700641E00000033000000
12,38,1,0,30,5,0,0,0,19,000000,2601001E0500000013000000
13,39,80,0,100,10,0,8,0,50,000000,275000640A00080032000000
14,50,0,0,0,30,0,16,0,8,000000,320000001E00100008000000
15,0,50,0,95,30,0,0,0,51,000000,0032005F1E00000033000000
16,149,40,2,100,35,0,0,0,50,000000,952802642300000032000000
17,0,60,2,100,35,0,0,0,51,000000,003C02642300000033000000
18,28,0,0,100,20,0,0,-6,18,000000,1C000064140000FA12000000
19,155,70,2,95,15,0,0,0,51,000000,9B46025F0F00000033000000
20,42,15,0,75,20,100,0,0,51,000000,2A0F004B1464000033000000
21,0,80,0,75,20,0,0,0,51,000000,0050004B1400000033000000
22,0,35,12,100,10,0,0,0,51,000000,00230C640A00000033000000
23,150,65,0,100,20,30,0,0,19,000000,96410064141E000013000000
24,44,30,1,100,30,0,0,0,51,000000,2C1E01641E00000033000000
25,0,120,0,75,5,0,0,0,51,000000,0078004B0500000033000000
26,45,70,1,95,25,0,0,0,51,000000,2D46015F1900000033000000
27,31,60,1,85,15,30,0,0,51,000000,1F3C01550F1E000033000000
28,23,0,4,100,15,0,0,0,22,000000,170004640F00000016000000
29,31,70,0,100,15,30,0,0,19,000000,1F4600640F1E000013000000
30,0,65,0,100,25,0,0,0,51,000000,004100641900000033000000
31,29,15,0,85,20,0,0,0,51,000000,1D0F00551400000033000000
32,38,1,0,30,5,0,0,0,19,000000,2601001E0500000013000000
33,0,35,0,95,35,0,0,0,51,000000,0023005F2300000033000000
34,6,85,0,100,15,30,0,0,19,000000,065500640F1E000013000000
35,42,15,0,85,20,100,0,0,51,000000,2A0F00551464000033000000
36,48,90,0,85,20,0,0,0,51,000000,305A00551400000033000000
37,27,90,0,100,20,100,4,0,51,000000,1B5A00641464040033000000
38,198,120,0,100,15,0,0,0,51,000000,C67800640F00000033000000
39,19,0,0,100,30,0,8,0,22,000000,130000641E00080016000000
40,2,15,3,100,35,30,0,0,18,000000,020F0364231E000012000000
41,77,25,6,100,20,20,0,0,18,000000,4D1906641414000012000000
42,29,14,6,85,20,0,0,0,50,000000,1D0E06551400000032000000
43,19,0,0,100,30,0,8,0,22,000000,130000641E00080016000000
44,31,60,17,100,25,30,0,0,19,000000,1F3C1164191E000013000000
45,18,0,0,100,40,0,8,0,22,000000,120000642800080016000000
46,28,0,0,100,20,0,0,-6,18,000000,1C000064140000FA12000000
47,1,0,0,55,15,0,0,0,22,000000,010000370F00000016000000
48,49,0,0,55,20,0,0,0,22,000000,310000371400000016000000
49,130,1,0,90,20,0,0,0,50,000000,8201005A1400000032000000
50,86,0,0,55,20,0,0,0,18,000000,560000371400000012000000
51,69,40,3,100,30,10,8,0,18,000000,452803641E0A080012000000
52,4,40,10,100,25,10,0,0,18,000000,04280A64190A000012000000
53,4,95,10,100,15,10,0,0,18,000000,045F0A640F0A000012000000
54,46,0,15,0,30,0,16,0,8,000000,2E000F001E00100008000000
55,0,40,11,100,25,0,0,0,50,000000,00280B641900000032000000
56,0,120,11,80,5,0,0,0,50,000000,00780B500500000032000000
57,0,95,11,100,15,0,8,0,50,000000,005F0B640F00080032000000
58,5,95,15,100,10,10,0,0,18,000000,055F0F640A0A000012000000
59,5,120,15,70,5,10,8,0,18,000000,05780F46050A080012000000
60,76,65,14,100,20,10,0,0,18,000000,4C410E64140A000012000000
61,70,65,11,100,20,10,0,0,18,000000,46410B64140A000012000000
62,68,65,15,100,20,10,0,0,18,000000,44410F64140A000012000000
63,80,150,0,90,5,0,0,0,50,000000,5096005A0500000032000000
64,0,35,2,100,35,0,0,0,51,000000,002302642300000033000000
65,0,80,2,100,20,0,0,0,51,000000,005002641400000033000000
66,48,80,1,80,25,0,0,0,51,000000,305001501900000033000000
67,196,1,1,100,20,0,0,0,51,000000,C40101641400000033000000
68,89,1,1,100,20,0,1,-5,17,000000,59010164140001FB11000000
69,87,1,1,100,20,0,0,0,51,000000,570101641400000033000000
70,0,80,0,100,15,0,0,0,51,000000,005000640F00000033000000
71,3,20,12,100,20,0,0,0,18,000000,03140C641400000012000000
72,3,40,12,100,10,0,0,0,18,000000,03280C640A00000012000000
73,84,0,12,90,10,0,0,0,22,000000,54000C5A0A00000016000000
74,13,0,0,0,40,0,16,0,8,000000,0D0000002800100008000000
75,43,55,12,95,25,0,8,0,50,000000,2B370C5F1900080032000000
76,151,120,12,100,10,0,0,0,50,000000,97780C640A00000032000000
77,66,0,3,75,35,0,0,0,22,000000,4200034B2300000016000000
78,67,0,12,75,30,0,0,0,22,000000,43000C4B1E00000016000000
79,1,0,12,75,15,0,0,0,22,000000,01000C4B0F00000016000000
80,27,70,12,100,20,100,4,0,51,000000,1B460C641464040033000000
81,20,0,6,95,40,0,8,0,22,000000,1400065F2800080016000000
82,41,1,16,100,10,0,0,0,50,000000,290110640A00000032000000
83,42,15,10,70,15,100,0,0,50,000000,2A0F0A460F64000032000000
84,6,40,13,100,30,10,0,0,18,000000,06280D641E0A000012000000
85,6,95,13,100,15,10,0,0,18,000000,065F0D640F0A000012000000
86,67,0,13,100,20,0,0,0,22,000000,43000D641400000016000000
