slot,name,front_decoded_sha1,back_decoded_sha1,icon_raw_sha1,normal_palette_sha1,shiny_palette_sha1,icon_palette_id
112,RHYDON,d1678eaba789217d12d8f4a57ee7b0153efa204a,6e0cea0045eca9fb06fbd09f4990f1bf8c17e0ac,2f66f4feb89c7ebadd7020a22e8d605aadd30dde,bcf2e1481379a436d0ebe4c415a168e7021c876a,ef4d6956041cb268fe63a0ae07a55e644766d356,1
113,CHANSEY,539c8f4834e7bfbe65962eca17860c2e44127a65,a8022aaf02a930c18ac9833fdeb47882580dd4f3,41766aedd431589c8a51139c69f31898dbdcaa4c,b861ddcd2159489a98e5277e275b97a7c0523ca8,b822b199e029100ab5cf0200e6255b8c947d0212,0
114,TANGELA,b60a76be5a63a546a21f97539299f697021306ce,ff6d44958045ab02d7454aa407a92ed0c9bce53e,54a2a2b6be96963c5b81b741d0e97988897f4f32,f48f7b08abb5ecf665809f1839b34f41939ffe53,cb47fb2f6c028bc94a3fce222269bcf1d87a4f32,0
115,KANGASKHAN,775074b549928f6c05dc2875938970895e4cbe0f,5bb463b68792b71c060b90fe2216332b63db2bfc,6324b5e1e3beac92c9c90c4e6e40b49e59d177ac,be099daee5ceed0a5288708279944ecfcb94ffdc,27facb1a0002aa990898e24970d30ca7b4a068b2,1
116,HORSEA,ace26c8891c87d58931591f39cc5066fe55ca6d8,8cfbfb4ea580c0590a1b17abde2806c1a42fcfd3,7b84134413c14d03431182c93290359a842ce07d,0461b56e60dee4df574744a835d197a7b67c72e8,49c47b6848cd09838419179f4cb61a5611b05e81,0
117,SEADRA,74e1827950e4a8e88816b1f3d11c7991aa781f24,431fbe0dfce69f1a5d7a037a567e9f42667f1947,3f8e4ab1d67bd4f835ba572858f6a40b1ba3dd7c,7b95d3c2ca2e1e4a94b56a2dea8db8d421255643,d6c64528e6da15ff3571b688d6c6b0a4834e0beb,0
118,GOLDEEN,ba790ba63f2f62815f425dd230731d467db71fb1,63c1ab1ac469a18a73bace9bb9c9043adf1d7645,df7567dcdd5a965624fc69b4f3a30cf3b8c48631,4b7747ab7896ea25fc0ac5d5615bebe8f65c3472,eebc53c19a0a1e387cba8db24011e4498ef098ae,0
119,SEAKING,7e49a255dceccae3b42634466c2096b8694e0068,ab474f272e7d43db87e4b810c63b1d4e337b4ef6,24c484a860893ffae425b5e29ab79fcc4d9a9ab3,c344447d5a1402086697131df7421a171104047b,6f45780a706413f1e7bac12895a9dd1b6e0ae0d9,0
120,STARYU,cb7f80cdb8c595fadf270a437dadb55334da3856,39b2d955ad6c3794b10995f6e6c59c8b1c6a2c74,b924194756b81ba8ca678f992142a500b23db963,ddc75398c084ec029c48bcb171b7747b167bd113,7e4c5c308a344b6a79876334491c85cfe92edb88,2
121,STARMIE,e3a3bbb2a5a66c238e93ad04afd24416b86d2f1e,f1fe2ae721a42a660d70d39296f1e411180b1419,a1e286f5717f50adf93f10a1e1ce27339594051e,9bd0022588e3269e09c0e1213ea18e4632d2f48f,173da7a4b1118470cc6ca850a71c38e490a19399,2
122,MR. MIME,3ee63d65d610b31895918b40c73d6faabb84d656,7702980f9af026ac4d0938581c4e564d824f0a60,266f2e83f91ee5d11ad95cac7614d6f92c10e942,74045e6c89c61968d3fee9b76d06d1e44e4e72df,29d498fda1d50974ab4dca7eb67ff0a35d6ade67,0
123,SCYTHER,8c0d4755a19f9b3312a48d0c72611f95c6c2bcca,4f097d26688b649f28b669881a814dc7d76a2f16,510d51836c0272df37493552ddca69bda7d6bce5,1ed96680b74938c23ee61a599666a2500acf1b05,7da75d1c53a4dc7259f14e0bc2a887c7667e0d50,1
124,JYNX,fecd236c6dc77329f9064f91c9ba3e1bdbbd548d,87a4a900a73e05f759eb41a9441919512f9fb418,155b76d9bc39b6736afb461944630b5beb503fea,951a367323ee67ac3b3c86e6450e0dd44d3e77fd,5a441b5983b664a07f52b3a9a23c036b206e75b1,2
125,ELECTABUZZ,96bd2c4f6456a849576fffa11b29e36d015e2179,3bfbab7a2f59006809da59b03a0a2699b128c262,153c9f65c89d0a2d9aca925aebd33e8a71634266,e2c959c3a7ccea4ccede266ff52a8ad651cd356f,95d60ff22ef240272b8299615bd703e76a9699f6,1
