slot,name,front_decoded_sha1,back_decoded_sha1,icon_raw_sha1,normal_palette_sha1,shiny_palette_sha1,icon_palette_id
0,NONE,42e8cecf03b42a0f6970995eff139ce603427d7f,20001b5d4051a78c3c2a8e670841a1ba940c8449,24963eddd39d0c68cb834650b0c5f8ced9e0cefc,bfada64d10eea35977933de8594c6d414eb5759c,3b33d25d5fd5a4ffaa226fecca07c91ce0f82bdd,0
1,BULBASAUR,323c6b87261893b1a5bb87a3e6e80d41993ef11a,e5e045e80c4b61551a87b41cedd8aeafcb83f4df,24963eddd39d0c68cb834650b0c5f8ced9e0cefc,465595c51389e261d6ee57b88ec2579de692e391,510d2f9dad6b9dc0331eeb117f646aa18782d203,1
2,IVYSAUR,2c4f52d24752aa7a5766a916524c2638de59a76e,7b56f8589fff2e74cb94e4ae9e7da2391df53052,dcccaeb97b22c05e467c175326b1b07ee2bd7009,ac912f6465ee08d1c127deb789ce6527cc05ec65,71c037bec12fb4bc1a07fe84bdffe9728f16088d,1
3,VENUSAUR,5958402a8715c47fafd49cab4b9e4ba2cdc3df8d,b0e9d10e9cdad585862a9a16c709b06bd4c6ab99,f3eb2a826a5dd37e9c0b95068921e43e75182a1f,2126f2ec0369f684c0e021e28ed8168e45ab8760,dd88bc59c0a81ace42aba0dac9f7a33bcb1dc592,1
4,CHARMANDER,0fab14e90dade9715d8ed2baaa2fdcb93c8303e8,0dbd4e5eec152a0f154f2267b68d3ea813b16a3b,fc5347925736da480fac105d3ca70f67cff65e29,67d5419a9b42bae75e63e77fa0a1d9492b812b5d,e13e29bbd42a9cd82489abc94aa3b5653a8ba68b,0
5,CHARMELEON,45e3f290d348621cfc96db0c35d668ca595a7ccb,f7c36aba919ef8e5505cf2c1a8fde6ac8f199fcd,7bc8401cac590ddfd3fef37c19d0553b381f00c4,24ca0a133964c8daae4fbe73eb80b0963a5358ad,a75ebf28db10d9a912ca0f879c7a278d62da62a3,0
6,CHARIZARD,9fdab40af7963aa6696e0c37fd58828cbe415d98,288163f04e07b747d12ef3d91af90ede0218d6b4,4c6ca0c105c8a65a391a9f0969b70eba994b363e,59da33f6aafdadcb7135b4f4a2eaeaf2b8743496,3b32632dda84f639e422dda120c419bfc30707f8,0
7,SQUIRTLE,409d25ef12b216981f1ad7cd557bc63f56055769,27d26efb920d3e2ac0b5357edc95171fff64aa7d,1a7cb08d2f6b6ba94989f0464f0be986f1549a0e,1e4c60ac0c9ee2204dcad3092b91cc1f4b4f4d27,a6233200d5b0b0fd5a77ad921652efdb982f7821,0
8,WARTORTLE,cd93b028d7c0f1146794c68d8d70135297e53bc2,9e53e331096e32cc696110a29a436a32c368d66c,0813f63fe02416876bab5e9123a76b7c1a641680,e57a8cab7d46d3e30cf655b368146a332c061501,8eeb4266bc0328306a46929f697db9ac45214b68,2
9,BLASTOISE,212944b22d7bfe8a5e6f22bc18c68f6f5aed4f17,61c512ad0d3e2c6adefdc3494ab706ff87110098,ae1203e37b8c41942f3284b8a5e2d85c17298238,f16d2d287fbdd79ca0c4899faea551ef25e48dfc,02ae50307b0de9b64012283ac62252c10ac39a12,2
10,CATERPIE,0304822341afe997dae45441610616f00c095c46,5c2da3e4fd1cf982f192ee6e3d7bc4e4b87b0779,7eaf89fd28893327e3ebc07a26ac2902c490f554,9715bf2b7b51808a30df999875d1e0dfcce17e18,ba3bfebfcad0f896e5c2b8b064901ffa8b4e44d0,1
11,METAPOD,78964525dc87e9b3c2b2c5ff553b340881335e2e,5d5f4612129e4e8891bad7b753c2cf4f2593c675,e567b6ef6a68775e4fe6a512e007ea6aa33632a9,ada82f418af037508a89dcd93cfbb441cbb18659,f4154d5c8fe7ab11a628676d3053ff2a0548e625,1
12,BUTTERFREE,dbecae52768167238af9d98a133fcf501ceae4ab,9acd639823eafcfc6737d526b8ad86df1f9462d6,67d28a957290fb10c682ee5346bde5e45441e654,480179e35a58a0739962e3751bf3e18a2037d19b,601181a7768fd03ee6b0cacb244abd38c058a977,0
13,WEEDLE,15fb664d0dec12e8f90acd08ae14990ddda45b00,6c2a48d37c7e6400b9ed4ed30749974842bce44e,f7264cc125183d567cbd41e7ebd9c30ee1289a33,148536e5394def130c0cde71730c1630272bcb0b,0b9091419886fd2feae85a00e91ce4e0de00efcb,1
14,KAKUNA,2f23d52681a82b9aa63b28010b66daa81cece5af,ff9d2cc64f68cb6df3f5505896b56d3d8b514a86,646068e4bf4911c55933937c508076cf6a59ac6b,61e5e39d7b23446fed8bb574368de22174f3a417,a711afdd5e0562277bc0e34e8f9a7121c14302c4,2
15,BEEDRILL,4e42a1e44075a3b4acb195d46c5d9e97531f684d,d164f3addab1e31ebd3db6a41e9ec8b03d48b6fa,be96882f7b8598fcc75bcd51a065f288e1078abc,cc170934c4b76c0e7c1e8a79b513b494537a4b25,2254c85e644cc3ede7ba638050c1187fc9b37a72,2
16,PIDGEY,bbfbe164be280d6397cf2b2f31819b7b448abb94,aa978a31527e1020fbb23887b28e53484367a7dd,e387242a636a75ea102f3f096ff0b52407478bde,7148c27661f2f30abde0a9367a4e1e50fa18ed74,d4b9a35e86b62eb6c981f2f16fa5590678b920e1,0
