slot,name,front_decoded_sha1,back_decoded_sha1,icon_raw_sha1,normal_palette_sha1,shiny_palette_sha1,icon_palette_id
84,DODUO,3dcf4a611d449b3d65ba7daa170d435adff2bca6,87dd5719666fc9cebd28587cac606b77609fa759,f57bfaccc8556f5a02df72a41ccfb389aa3cf9bc,875470be332bb37d5bb114399dd35bdd756adc7f,2b469535c85ca8bb8bebe06f8c2c0b171c15202e,2
85,DODRIO,cbf7b3fe6d405cf15e87084b3c74b906f627838c,e41d57c4b7ca4fce38f952e8f455ee92b38c05d6,318c7fc51e3ab1b04953f4bf9bb8dfde49ee6dad,dbc9586a676405bdce039bffa7565c142bf89917,bdf05988016e765cb7503083086871aa14c00973,2
86,SEEL,4a018b196e4b90d1c177fed610a13cdf22987f0d,46e67c59399cd0a874339eb3ee894fdff4b1de6b,f374f52d26190303845a50e174c18cc2b387aa3b,529830c433ca1a7c5ff5b7c59afaa807a04f7f18,c4843a0abbf7d8ffc0aca30b88fb966ef64da29d,2
87,DEWGONG,316dca719a9f3ee7e71dd42db8b9072aab4c08ba,1dc10a3719c173a03bdbacae7fafbdac0bdd09f6,f2be4666e653a0c27f24c86f933b0ab314291915,74dc2a7a330432584a8a3b4750040edaa7e4e8b3,9f4c8142849b8b4efa76064d3220ef363e39bcee,2
88,GRIMER,20f9649c7593b605ef519c114815c9132282a551,fcc09d67a44be6c8cc4eb60f6af3dd11bccce8fe,e5746db5819f790fa4d6c065f860b64d0b475e69,29dce6210a2da037e0283d260b8b4dadd657d079,8b763abcc7f4b223604bc408fd7f428f94a2257e,2
89,MUK,7019444379c306c99a218b8ce944e58e8b605904,c2e4ae4f4da42081e3e3fb80512b30b69fdac81e,8a9b7b304a1c8f63c6114228582ba065ae152211,60fb52ccdd0a764739d280e40dc417e0e84bba2b,bc727ed55ad1ba5e07ac78082a6934d15ec2dd73,2
90,SHELLDER,13dacd545769d47df178740f24fd3d541b44074e,54119e56b35cc07330d72372d17182efc176f042,dbc156674698fef7df2ccc47a25b7305266d623b,3cea3dcb0e973220ad078929a3b1fa1e1fca1030,5003282b4ecdf0038704f5c0ceffb7aaf93007e0,2
91,CLOYSTER,2cdbded46f1cf6b7e376fa0b08d2188694d44e37,aefe8780711f8afbd742bff0a196c37e3a3182b9,5fcaae65bb05b66d35672fa4ba9f00691ee24a14,ecf4dd553f4a4c2aa55428cce535482fcc46840a,a948e2907f020e5ba6611a964082b94778a18f86,2
92,GASTLY,4c5ff9ec1fff91ce83e894a56575af966a56a0bd,1193209601131d67e3162791228622b1658d89f3,008554fbab0b6a9ccaccf8f1c66d1526bfe3e2a3,b3614c8f58e8502845108d8f2a53f08947b1a269,af9e81a7cd7a37bbe303f6c03819b9e0051674fe,2
93,HAUNTER,9c7fa80b1780f2b8252dbd429f3cd4306880a350,6b2ff85aeb0718f45b25c39d4bf25da6db2252a7,e2649707a4383cef5f96287b92745fd4524b21a9,c565575c3a7f14851a37d7b1aec3568ef9b9851b,f5c27146c60b9ce8a0e8b0efc0634a3b589d1db0,2
