slot_id,item_id_field,price,hold_effect,hold_effect_param,importance,registrability,pocket,type,battle_usage,secondary_id
0,0,0,0,0,0,0,1,4,0,0
1,1,0,0,0,0,0,2,0,2,0
2,2,1200,0,0,0,0,2,1,2,1
3,3,600,0,0,0,0,2,2,2,2
4,4,200,0,0,0,0,2,3,2,3
5,5,0,0,0,0,0,2,4,2,4
6,6,1000,0,0,0,0,2,5,2,5
7,7,1000,0,0,0,0,2,6,2,6
8,8,1000,0,0,0,0,2,7,2,7
9,9,1000,0,0,0,0,2,8,2,8
10,10,1000,0,0,0,0,2,9,2,9
11,11,1000,0,0,0,0,2,10,2,10
12,12,200,0,0,0,0,2,11,2,11
13,13,300,0,20,0,0,1,1,1,0
14,14,100,0,0,0,0,1,1,1,0
15,15,250,0,0,0,0,1,1,1,0
16,16,250,0,0,0,0,1,1,1,0
17,17,250,0,0,0,0,1,1,1,0
18,18,200,0,0,0,0,1,1,1,0
19,19,3000,0,255,0,0,1,1,1,0
20,20,2500,0,255,0,0,1,1,1,0
21,21,1200,0,200,0,0,1,1,1,0
22,22,700,0,50,0,0,1,1,1,0
23,23,600,0,0,0,0,1,1,1,0
24,24,1500,0,0,0,0,1,1,1,0
25,25,4000,0,0,0,0,1,1,1,0
26,26,200,0,50,0,0,1,1,1,0
27,27,300,0,60,0,0,1,1,1,0
28,28,350,0,80,0,0,1,1,1,0
29,29,500,0,100,0,0,1,1,1,0
30,30,500,0,0,0,0,1,1,1,0
31,31,800,0,0,0,0,1,1,1,0
32,32,450,0,0,0,0,1,1,1,0
33,33,2800,0,0,0,0,1,1,1,0
34,34,1200,0,10,0,0,1,1,1,0
35,35,2000,0,255,0,0,1,1,1,0
36,36,3000,0,10,0,0,1,1,1,0
37,37,4500,0,255,0,0,1,1,1,0
38,38,200,0,0,0,0,1,1,1,0
39,39,100,0,0,0,0,1,1,1,0
40,40,200,0,0,0,0,1,1,1,0
41,41,300,0,0,0,0,1,1,1,0
42,42,400,0,50,0,0,1,1,0,0
43,43,500,0,150,0,0,1,1,0,0
44,44,100,1,20,0,0,1,1,1,0
45,45,200,0,0,0,0,1,1,0,0
46,46,20,0,0,0,0,1,4,0,0
47,47,20,0,0,0,0,1,4,0,0
48,48,200,0,0,0,0,1,4,0,0
49,49,200,0,0,0,0,1,4,0,0
50,50,200,0,0,0,0,1,4,0,0
51,51,200,0,0,0,0,1,4,0,0
52,0,0,0,0,0,0,1,4,0,0
53,0,0,0,0,0,0,1,4,0,0
54,0,0,0,0,0,0,1,4,0,0
55,0,0,0,0,0,0,1,4,0,0
56,0,0,0,0,0,0,1,4,0,0
57,0,0,0,0,0,0,1,4,0,0
58,0,0,0,0,0,0,1,4,0,0
59,0,0,0,0,0,0,1,4,0,0
60,0,0,0,0,0,0,1,4,0,0
61,0,0,0,0,0,0,1,4,0,0
62,0,0,0,0,0,0,1,4,0,0
63,63,9800,0,0,0,0,1,1,0,0
64,64,9800,0,0,0,0,1,1,0,0
65,65,9800,0,0,0,0,1,1,0,0
66,66,9800,0,0,0,0,1,1,0,0
67,67,9800,0,0,0,0,1,1,0,0
68,68,4800,0,0,0,0,1,1,0,0
69,69,9800,0,0,0,0,1,1,0,0
70,70,9800,0,0,0,0,1,1,0,0
71,71,9800,0,0,0,0,1,1,0,0
72,0,0,0,0,0,0,1,4,0,0
73,73,700,0,0,0,0,1,4,2,0
74,74,650,0,0,0,0,1,4,2,0
75,75,500,0,0,0,0,1,4,2,0
76,76,550,0,0,0,0,1,4,2,0
77,77,350,0,0,0,0,1,4,2,0
78,78,950,0,0,0,0,1,4,2,0
79,79,350,0,0,0,0,1,4,2,0
80,80,1000,0,0,0,0,1,4,2,0
81,81,1000,0,0,0,0,1,4,2,0
82,0,0,0,0,0,0,1,4,0,0
83,83,500,0,200,0,0,1,4,0,0
84,84,700,0,250,0,0,1,4,0,0
85,85,550,0,0,0,0,1,2,0,0
86,86,350,0,100,0,0,1,4,0,0
87,0,0,0,0,0,0,1,4,0,0
88,0,0,0,0,0,0,1,4,0,0
89,0,0,0,0,0,0,1,4,0,0
90,0,0,0,0,0,0,1,4,0,0
91,0,0,0,0,0,0,1,4,0,0
92,0,0,0,0,0,0,1,4,0,0
93,93,2100,0,0,0,0,1,1,0,0
94,94,0,0,0,0,0,1,1,0,0
95,95,2100,0,0,0,0,1,1,0,0
96,96,2100,0,0,0,0,1,1,0,0
97,97,2100,0,0,0,0,1,1,0,0
98,98,2100,0,0,0,0,1,1,0,0
99,0,0,0,0,0,0,1,4,0,0
100,0,0,0,0,0,0,1,4,0,0
101,0,0,0,0,0,0,1,4,0,0
102,0,0,0,0,0,0,1,4,0,0
103,103,500,0,0,0,0,1,4,0,0
104,104,5000,0,0,0,0,1,4,0,0
105,0,0,0,0,0,0,1,4,0,0
106,106,1400,0,0,0,0,1,4,0,0
107,107,7500,0,0,0,0,1,4,0,0
108,108,2000,0,0,0,0,1,4,0,0
109,109,9800,0,0,0,0,1,4,0,0
110,110,10000,0,0,0,0,1,4,0,0
111,111,100,0,0,0,0,1,4,0,0
112,0,0,0,0,0,0,1,4,0,0
113,0,0,0,0,0,0,1,4,0,0
114,0,0,0,0,0,0,1,4,0,0
